^ Hex ^ Display ^
|20204361727465206e6f6e2076616c6964652020 \ 202020202052616363726f6368657a2020202020|  Carte non valide   \      Raccrochez     |
|20204361727465206e6f6e2076616c6964652020 \ 202020202052616363726f6368657a2020202020|  Carte non valide   \      Raccrochez     |
|20204361727465206e6f6e2076616c6964652020 \ 202020202052616363726f6368657a2020202020|  Carte non valide   \      Raccrochez     |
|5673206e6520706f7576657a206f6274656e6972 \ 6365206e6f2e204170707579657a2073757220b7|Vs ne pouvez obtenir \ ce no. Appuyez sur ·|
|496e73a672657a20766f74726520636172746520 \ 6f7520636f6d706f73657a206c65206e6f202020|Ins¦rez votre carte  \ ou composez le no   |
|496e73a672657a20766f74726520636172746520 \ 736f7573206c6520636c61766965722020202020|Ins¦rez votre carte  \ sous le clavier     |
|56a672696669657a207369206c61206361727465 \ 2020657374206269656e206f7269656e74a66520|V¦rifiez si la carte \   est bien orient¦e |
|496e73a672657a20766f74726520636172746520 \ 636f6d706ca574656d656e7420532e562e502e20|Ins¦rez votre carte  \ compl¥tement S.V.P. |
|496e73a672657a20766f74726520636172746520 \ 6f752064a6706f73657a20202020202020202020|Ins¦rez votre carte  \ ou d¦posez          |
|496e73a672657a20766f74726520636172746520 \ 6f7520617474656e64657a206c6520636faf7420|Ins¦rez votre carte  \ ou attendez le co¯t |
|4372a664697420696e737566666973616e742020 \ 73757220766f7472652063617274652020202020|Cr¦dit insuffisant   \ sur votre carte     |
|436f6d706f73657a206c65206e756da6726f2020 \ 4372a66469743a20202020202020202020202020|Composez le num¦ro   \ Cr¦dit:             |
|4c6c207265737465202020202020202020736563 \ 496e73a672657a20617574726520636172746520|Ll reste         sec \ Ins¦rez autre carte |
|4372a66469743a20202020202020202020202020 \ 5265746972657a20766f74726520636172746520|Cr¦dit:              \ Retirez votre carte |
|4672616973206261736520202020202020202020 \ 4672616973206164646974202020202020202020|Frais base           \ Frais addit         |
|52a6736561752063686f69736920726566757365 \ 6365207479706520646520706169656d656e7420|R¦seau choisi refuse \ ce type de paiement |
|205365727669636520726573747265696e742020 \ 2020202020202020202020202020202020202020| Service restreint   \                     |
|205365727669636573204427757267656e63652c \ 2054a66ca670686f6e69737465205365756c2020| Services D'urgence, \  T¦l¦phoniste Seul  |
|4372a66469743a20202020202020202020202020 \ 706f757220617070656c65723a20b72020202020|Cr¦dit:              \ pour appeler: ·     |
|436f6e6e656374657a20a671756970656d656e74 \ 657420666169726520617070656c202020202020|Connectez ¦quipement \ et faire appel      |
